IFX,SDF
8.24,50.05
8.35,50
8.14,49.9
8.09,52
8.13,51.75
8.05,51.5
8.28,51.88
8.27,51.93
8.11,52.62
7.88,51.88
7.88,52.27
7.96,52.5
8.12,52.1
7.78,52.46
7.7,52.36
7.68,52.46
7.57,52.35
7.77,51.94
7.89,50.76
7.99,51
8,51.98
8.01,50.85
7.95,50.31
7.89,50.49
7.7,50.85
7.71,51.02
7.6,51.17
7.57,51.07
7.52,52.83
7.48,53.9
7.55,54.38
7.72,54.85
7.85,55.45
7.92,56.32
8.06,55.16
8.04,55.53
8.01,54.48
7.92,53.84
7.91,54.57
7.93,55.2
8,55.02
7.99,55.85
7.9,55.9
7.75,55.84
7.74,55.47
7.96,56.9
7.77,57.7
7.99,57.9
7.98,58.4
8.18,58.74
8.32,58.31
8.51,59
8.3,59.1
8.14,57.9
8.15,57.2
8.16,57.87
8.26,58.25
8.07,57.48
8.03,55.33
8.16,53.56
8.14,52.93
8.11,54.89
7.85,52.01
7.9,52.78
7.94,52.47
7.98,54
7.93,54.23
7.94,55.02
7.65,53.5
7.6,53.55
7.8,54.73
7.8,55.72
7.86,54.9
8.1,54.82
8.08,54.45
8.16,53.98
8.07,52.62
8.19,51.76
8.27,52.28
8.44,52.85
8.41,54.57
8.28,54.38
8.14,54.39
7.95,54.68
8,54.96
7.92,54.99
7.78,53.74
7.81,53.12
7.79,53.15
7.76,53.43
7.78,53
7.71,53.03
7.6,53.73
7.85,53.2
7.94,53.36
7.73,53.06
7.87,52.92
7.76,52.98
7.85,52.23
7.78,52.96
7.84,52.25
7.67,51
7.72,51.37
7.75,51.63
7.83,52.07
7.85,51.8
7.76,51.98
7.88,52.4
7.82,51.84
7.8,52.37
7.8,52.37
7.8,52.61
7.78,51.4
7.78,52.17
7.73,51.05
7.75,52.2
7.77,53.53
8,55.05
8.19,54.8
8.42,56.74
8.35,56.51
8.23,56.43
8.28,56.65
8.28,56.29
8.15,56
8.16,56.52
8,55.21
7.86,53.45
7.99,54.41
7.62,53.57
7.79,52.98
7.89,52.61
7.9,53.72
7.95,54.43
7.85,55.73
7.84,55.4
7.75,56.29
7.76,57.15
7.67,56.47
7.63,56.82
7.76,57.52
7.91,56.94
8,55.4
8.05,56.52
7.98,57.42
8,57.16
8.08,57.07
8.2,57.2
8.17,57.06
8.2,58.34
8.16,58.41
8.11,58.9
7.98,61.29
7.95,60.91
7.91,62.15
7.87,63.49
7.74,62.92
8,63.49
7.98,62
7.99,62.6
7.96,62.6
7.99,62.43
7.91,61.22
7.96,61.79
8,62.1
7.99,63.65
8.02,63.1
8.21,63.5
8.33,63.4
8.29,63.69
8.25,65.45
8.37,65.33
8.22,64.85
8.93,65.98
8.45,67.17
8.35,66.92
8.28,65.78
8.23,65.29
8.45,66.54
8.51,66.6
8.57,66.62
8.7,66.96
8.66,66.55
8.76,66.2
8.7,66.81
8.68,65.7
8.5,64.4
8.61,64.21
8.87,63.78
8.87,63.78
8.87,63.78
8.76,63.98
9.05,65.33
9.35,65.59
9.28,67.32
9.2,68.55
9.45,68.55
9.56,70.66
9.65,69.85
9.69,71.6
9.71,73.45
9.72,73
9.66,73.73
9.79,76.84
9.95,76.41
9.68,75.24
9.37,72.05
9.37,70.96
9.03,67.78
9.08,65.85
9.01,67.53
8.75,64.55
8.7,64.02
8.71,64.38
8.55,60.39
8.87,64.56
8.68,63.06
8.82,63.1
8.89,65.45
8.9,66.71
8.66,64.51
8.81,65.09
9.05,64.5
9.13,65.6
8.96,66.15
8.62,62.42
8.6,64.03
8.26,60.3
8.56,60.46
8.47,59.16
8.32,56.05
8.22,54.9
8.22,54.9
8.22,54.9
8.55,59.32
8.59,60.62
8.62,59.66
8.75,60.91
8.71,60
8.79,60.13
8.66,60.04
8.55,59.19
8.76,61.62
8.71,63.07
8.82,63.49
8.82,64.22
8.71,62.27
8.78,62.48
8.83,63.35
8.98,63.95
8.73,62.95
8.76,62.4
8.52,61.21
8.38,59.25
8.42,58.49
8.46,56.89
8.73,59.9
8.92,59.68
8.31,58.05
8.51,58.8
8.47,58.66
8.27,59.05
8.21,61.07
8.25,59.8
8.36,58.76
8.3,59.39
8.46,59.39
8.43,58.65
8.56,58.16
8.42,58.46
8.28,58.48
8.42,57.13
8.38,60.98
8.35,62.15
8.45,62.47
8.7,62.09
8.87,62.82
8.94,63.3
8.81,62.26
8.68,61.94
8.76,60.96
